mirna	HC1-Th17	HC2-nonTh17	HC2-Th17	HC3-nonTh17	HC3-Th17	HC4-nonTh17	HC4-Th17	AS1-nonTh17	AS1-Th17AS2-nonTh17	AS2-Th17	AS3-nonTh17	AS4-nonTh17
hsa-miR-3620-5p	0	0	1	0	2	0	0	1	0	0	0	0	0
hsa-miR-3621	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3622a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3622a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3622b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3622b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-363-3p	17	459	1106	2668	943	487	97	793	284	216	6	1339	1381
hsa-miR-363-5p	2	5	73	189	24	12	0	9	5	7	0	14	23
hsa-miR-3646	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3648	0	0	0	0	0	0	0	0	1	1	0	2	0
hsa-miR-3649	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3650	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3651	12	7	5	7	7	4	10	79	21	5	0	20	5
hsa-miR-3652	0	1	0	1	0	2	0	4	1	0	0	2	1
hsa-miR-3653	33	67	78	153	38	330	215	896	150	96	3	33	199
hsa-miR-3654	1	0	0	2	0	0	0	0	0	1	0	2	0
hsa-miR-3655	0	0	0	1	1	0	0	0	1	0	0	0	0
hsa-miR-3656	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3657	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3658	3	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3659	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-365a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-365a-5p	9	3	6	16	6	19	7	6	6	1	0	10	6
hsa-miR-365b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-365b-5p	0	0	2	0	0	0	1	2	1	5	0	3	1
hsa-miR-3660	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3661	1	1	3	3	3	0	0	2	3	0	0	1	0
hsa-miR-3662	1	0	10	63	33	1	0	3	2	0	0	4	1
hsa-miR-3663-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3663-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3664-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3664-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3665	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3666	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3667-3p	0	0	1	1	0	0	0	1	0	0	0	0	0
hsa-miR-3667-5p	0	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-3668	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3669	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-367-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-367-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3670	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3671	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3672	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3673	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3674	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3675-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3675-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3677-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3677-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3678-3p	1	0	3	1	0	0	0	2	0	1	0	0	0
hsa-miR-3678-5p	0	1	0	1	0	0	0	1	0	0	0	0	0
hsa-miR-3679-3p	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-3679-5p	0	0	2	1	0	0	2	1	4	0	0	0	0
hsa-miR-3680-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3680-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3681-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3681-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3682-3p	1	1	0	2	1	0	0	0	1	0	0	0	0
hsa-miR-3682-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3683	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3684	0	2	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-3685	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3686	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3687	3	1	0	1	0	1	9	10	0	2	1	6	1
hsa-miR-3688-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3688-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3689a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3689a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3689b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3689b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3689c	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3689d	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3689e	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3689f	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-369-3p	0	0	0	0	0	0	0	1	4	0	0	2	2
hsa-miR-369-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3690	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3691-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3691-5p	0	3	2	15	5	1	0	3	3	1	0	4	2
hsa-miR-3692-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3692-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-370-3p	0	0	0	2	0	0	0	0	0	0	0	0	1
hsa-miR-370-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3713	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3714	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-371a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-371a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-371b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-371b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-372-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-372-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-373-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-373-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-374a-3p	5	116	27	4	13	23	14	22	11	24	2	26	100
hsa-miR-374a-5p	6	177	51	17	22	17	15	28	26	52	6	28	144
hsa-miR-374b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-374b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-374c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-374c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-375	1	2	4	0	0	0	0	2	2	0	0	6	0
hsa-miR-376a-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-376a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-376a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-376b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-376b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-376c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-376c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-377-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-377-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-378a-3p	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-378a-5p	0	6	17	35	15	12	2	28	2	16	0	26	19
hsa-miR-378b	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-378c	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-378d	0	0	1	2	5	2	0	2	1	0	0	2	3
hsa-miR-378e	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-378f	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-378g	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-378h	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-378i	0	0	0	1	2	1	0	1	0	0	0	0	1
hsa-miR-378j	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-379-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-379-5p	0	0	0	4	0	0	0	0	5	0	0	7	1
hsa-miR-380-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-380-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-381-3p	0	0	0	1	0	0	0	0	4	0	0	2	0
hsa-miR-381-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-382-3p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-382-5p	0	0	0	0	0	0	0	0	2	0	0	3	1
hsa-miR-383-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-383-5p	0	0	0	0	0	0	0	0	0	0	0	3	0
hsa-miR-384	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3907	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3908	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3909	0	9	7	13	9	6	1	5	3	1	0	21	5
hsa-miR-3910	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3911	0	0	2	2	1	1	0	2	0	0	0	1	0
hsa-miR-3912-3p	1	8	5	7	2	5	0	13	10	4	0	7	21
hsa-miR-3912-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3913-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3913-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3914	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3915	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3916	1	2	4	1	4	1	0	1	3	0	0	0	2
hsa-miR-3917	1	4	4	14	3	1	1	1	0	2	0	9	1
hsa-miR-3918	0	2	3	4	0	0	0	3	2	1	0	8	2
hsa-miR-3919	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3920	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3921	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3922-3p	2	4	5	4	7	0	0	3	4	0	0	7	3
hsa-miR-3922-5p	0	0	0	0	1	0	0	0	0	0	0	0	1
hsa-miR-3923	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3924	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3925-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3925-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3926	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3927-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3927-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3928-3p	3	6	6	6	11	4	2	14	1	0	0	10	6
hsa-miR-3928-5p	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-3929	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3934-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3934-5p	2	17	22	24	32	8	0	17	8	2	0	15	12
hsa-miR-3935	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3936	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3937	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3938	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3939	0	1	0	3	0	0	0	0	0	0	0	0	0
hsa-miR-3940-3p	2	6	1	5	8	3	0	5	0	1	1	5	4
hsa-miR-3940-5p	1	0	1	1	4	0	1	2	2	0	0	5	0
hsa-miR-3941	0	3	0	2	1	4	3	12	0	4	0	1	14
hsa-miR-3942-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3942-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3943	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3944-3p	0	0	2	5	1	0	0	2	0	0	0	0	0
hsa-miR-3944-5p	0	0	0	0	1	1	0	0	0	0	0	1	0
hsa-miR-3945	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3960	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3972	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3973	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3974	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3975	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3976	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3977	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3978	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-409-3p	0	0	1	3	0	0	0	4	20	0	0	6	4
hsa-miR-409-5p	0	0	0	1	0	0	0	0	1	0	0	2	0
hsa-miR-410-3p	0	0	0	0	0	0	0	0	0	0	0	0	3
hsa-miR-410-5p	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-411-3p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-411-5p	0	0	0	1	0	0	0	0	3	0	0	0	1
hsa-miR-412-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-412-5p	0	0	0	0	0	0	0	1	30	0	0	12	12
hsa-miR-421	2	58	51	7	36	2	2	2	8	1	0	20	23
hsa-miR-422a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-423-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-423-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-424-3p	16	39	262	469	340	62	12	25	27	16	4	88	31
hsa-miR-424-5p	0	2	3	2	5	3	0	0	1	0	0	0	1
hsa-miR-425-3p	0	69	42	25	23	12	3	30	7	5	0	28	47
hsa-miR-425-5p	75	698	608	496	460	145	22	344	159	94	0	343	343
hsa-miR-4251	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4252	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4253	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4254	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4255	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4256	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4257	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4258	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4259	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4260	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4261	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4262	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4263	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4264	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4265	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4266	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4267	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4268	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4269	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4270	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4271	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4272	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4273	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4274	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4275	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4276	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4277	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4278	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4279	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4280	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4281	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4282	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4283	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4284	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4285	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4286	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4287	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4288	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4289	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-429	0	7	2	0	0	0	0	0	0	0	0	3	1
hsa-miR-4290	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4291	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4292	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4293	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4294	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4295	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4296	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4297	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4298	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4299	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4300	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4301	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4302	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4303	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4304	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4305	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4306	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4307	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4308	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4309	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-431-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-431-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4310	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4311	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4312	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4313	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4314	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4315	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4316	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4317	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4318	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4319	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-432-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-432-5p	0	0	0	0	0	0	0	0	34	0	0	11	2
hsa-miR-4320	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4321	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4322	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4323	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4324	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4325	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4326	15	61	84	126	106	9	9	0	0	5	0	42	25
hsa-miR-4327	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4328	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4329	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-433-3p	0	0	0	0	0	0	0	3	9	0	0	15	3
hsa-miR-433-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4330	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4417	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4418	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4419a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4419b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4420	0	0	10	37	23	0	1	0	1	0	0	10	0
hsa-miR-4421	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4422	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4423-3p	0	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4423-5p	0	2	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4424	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4425	1	6	8	12	17	2	0	3	4	3	0	6	0
hsa-miR-4426	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4427	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4428	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4429	0	0	0	0	0	1	0	0	1	0	0	0	0
hsa-miR-4430	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4431	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4432	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4433-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4433-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4433b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4433b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4434	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4435	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4436a	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4436b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4436b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4437	0	2	2	2	2	0	1	0	1	0	3	0	0
hsa-miR-4438	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4439	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-4440	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4441	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4442	0	2	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-4443	6	22	39	42	35	19	25	34	47	5	0	11	24
hsa-miR-4444	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4445-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4445-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4446-3p	5	10	13	4	7	4	5	14	31	12	0	31	11
hsa-miR-4446-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4447	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4448	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4449	3	3	6	3	1	2	5	8	3	0	0	8	2
hsa-miR-4450	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4451	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4452	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4453	0	1	1	0	0	0	0	0	0	0	0	1	0
hsa-miR-4454	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4455	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4456	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4457	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4458	0	0	2	1	1	0	1	0	2	0	0	0	0
hsa-miR-4459	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4460	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4461	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4462	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4463	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4464	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4465	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4466	0	0	6	0	2	0	1	1	5	2	0	1	0
hsa-miR-4467	2	2	5	0	0	0	0	5	0	0	0	0	0
hsa-miR-4468	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4469	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4470	0	0	0	2	2	1	0	0	2	0	0	0	0
hsa-miR-4471	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4472	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4473	2	27	35	44	20	15	0	26	6	5	0	25	37
hsa-miR-4474-3p	0	2	5	2	1	1	0	4	1	3	0	13	8
hsa-miR-4474-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4475	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4476	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4477a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4477b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4478	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4479	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-448	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4480	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4481	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4482-3p	1	3	3	0	0	0	0	0	0	1	0	0	4
hsa-miR-4482-5p	0	8	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-4483	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4484	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4485	4	3	2	5	5	1	8	7	1	1	0	5	3
hsa-miR-4486	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4487	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4488	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4489	2	2	4	1	3	1	0	5	1	1	0	1	0
hsa-miR-4490	0	0	0	0	0	0	0	0	0	0	0	0	0
